question_text,topic,method,method_reason
x^2 + -1x + 12 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 2y = 3
4x + 3y = 12",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£134 in the ratio 3:2,Ratio,Unitary Method,Use value of one part then multiply.
Find the 11th term of the sequence starting at 2 with common difference 10,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 2 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -9x + 3 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"5x + 2y = 3
2x + 3y = 17",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£128 in the ratio 2:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 10th term of the sequence starting at 10 with common difference 4,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 10th term of the geometric sequence starting at 5 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 8x + -7 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"5x + 4y = 15
2x + 1y = 13",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£144 in the ratio 4:4,Ratio,Unitary Method,Use value of one part then multiply.
Find the 11th term of the sequence starting at 4 with common difference 7,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 10th term of the geometric sequence starting at 2 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 0x + -9 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"1x + 2y = 6
5x + 1y = 11",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£126 in the ratio 4:4,Ratio,Unitary Method,Use value of one part then multiply.
Find the 5th term of the sequence starting at 5 with common difference 10,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 3 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 8x + -10 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"4x + 1y = 7
4x + 2y = 8",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£178 in the ratio 3:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 13th term of the sequence starting at 3 with common difference 9,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 8th term of the geometric sequence starting at 2 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 1x + -19 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"1x + 3y = 20
2x + 2y = 15",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£189 in the ratio 3:4,Ratio,Unitary Method,Use value of one part then multiply.
Find the 8th term of the sequence starting at 8 with common difference 4,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 7th term of the geometric sequence starting at 2 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -4x + -1 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"1x + 5y = 1
5x + 2y = 4",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£191 in the ratio 1:4,Ratio,Unitary Method,Use value of one part then multiply.
Find the 11th term of the sequence starting at 6 with common difference 1,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 4 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -1x + -7 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"1x + 1y = 17
2x + 2y = 7",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£26 in the ratio 1:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 8th term of the sequence starting at 4 with common difference 7,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 3 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -4x + -17 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 2y = 11
2x + 2y = 3",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£25 in the ratio 5:4,Ratio,Unitary Method,Use value of one part then multiply.
Find the 7th term of the sequence starting at 9 with common difference 6,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 1 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 7x + 1 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"5x + 2y = 17
4x + 2y = 18",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£186 in the ratio 5:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 8th term of the sequence starting at 10 with common difference 2,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 3 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -10x + 14 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"2x + 5y = 9
5x + 4y = 13",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£97 in the ratio 5:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 11th term of the sequence starting at 2 with common difference 6,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 5 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 7x + 12 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"3x + 2y = 7
4x + 5y = 1",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£174 in the ratio 5:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 12th term of the sequence starting at 4 with common difference 5,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 5 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 2x + -10 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"1x + 2y = 12
2x + 3y = 18",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£142 in the ratio 1:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 10th term of the sequence starting at 5 with common difference 7,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 1 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -8x + -20 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"2x + 2y = 1
1x + 4y = 13",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£142 in the ratio 3:3,Ratio,Unitary Method,Use value of one part then multiply.
Find the 11th term of the sequence starting at 3 with common difference 2,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 3 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -7x + 8 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"1x + 5y = 17
2x + 1y = 3",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£128 in the ratio 2:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 8th term of the sequence starting at 4 with common difference 4,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 9th term of the geometric sequence starting at 3 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 8x + 14 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 2y = 6
5x + 1y = 2",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£84 in the ratio 4:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 12th term of the sequence starting at 5 with common difference 8,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 3 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -1x + 16 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"4x + 3y = 20
1x + 3y = 5",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£99 in the ratio 1:3,Ratio,Unitary Method,Use value of one part then multiply.
Find the 10th term of the sequence starting at 5 with common difference 9,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 2 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 1x + -10 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"1x + 3y = 11
2x + 4y = 7",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£159 in the ratio 4:2,Ratio,Unitary Method,Use value of one part then multiply.
Find the 5th term of the sequence starting at 7 with common difference 5,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 9th term of the geometric sequence starting at 4 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 2x + 2 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 2y = 4
4x + 3y = 4",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£85 in the ratio 2:3,Ratio,Unitary Method,Use value of one part then multiply.
Find the 11th term of the sequence starting at 5 with common difference 8,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 6th term of the geometric sequence starting at 4 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 5x + 6 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 4y = 14
4x + 2y = 19",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£168 in the ratio 4:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 13th term of the sequence starting at 9 with common difference 2,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 5 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -6x + 16 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"1x + 1y = 7
4x + 2y = 18",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£39 in the ratio 4:2,Ratio,Unitary Method,Use value of one part then multiply.
Find the 10th term of the sequence starting at 7 with common difference 10,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 2 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -3x + -2 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 1y = 13
3x + 2y = 10",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£174 in the ratio 2:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 15th term of the sequence starting at 4 with common difference 5,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 5th term of the geometric sequence starting at 2 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 10x + 2 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"1x + 5y = 19
2x + 4y = 17",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£60 in the ratio 2:4,Ratio,Unitary Method,Use value of one part then multiply.
Find the 10th term of the sequence starting at 6 with common difference 9,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 8th term of the geometric sequence starting at 5 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -3x + 15 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"3x + 2y = 19
2x + 5y = 1",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£194 in the ratio 5:2,Ratio,Unitary Method,Use value of one part then multiply.
Find the 5th term of the sequence starting at 2 with common difference 3,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 6th term of the geometric sequence starting at 4 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 6x + -4 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"4x + 3y = 9
2x + 5y = 14",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£61 in the ratio 2:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 13th term of the sequence starting at 3 with common difference 1,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 9th term of the geometric sequence starting at 3 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -5x + -5 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"3x + 2y = 17
4x + 1y = 15",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£102 in the ratio 1:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 11th term of the sequence starting at 3 with common difference 6,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 10th term of the geometric sequence starting at 2 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -7x + -18 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"3x + 1y = 6
4x + 5y = 13",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£51 in the ratio 4:3,Ratio,Unitary Method,Use value of one part then multiply.
Find the 5th term of the sequence starting at 4 with common difference 6,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 9th term of the geometric sequence starting at 5 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -8x + -18 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"2x + 4y = 10
4x + 3y = 16",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£145 in the ratio 5:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 14th term of the sequence starting at 10 with common difference 8,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 7th term of the geometric sequence starting at 1 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 4x + 18 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"1x + 5y = 3
1x + 5y = 5",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£74 in the ratio 1:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 7th term of the sequence starting at 10 with common difference 8,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 7th term of the geometric sequence starting at 5 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 10x + -8 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 2y = 3
5x + 3y = 20",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£25 in the ratio 4:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 15th term of the sequence starting at 9 with common difference 10,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 7th term of the geometric sequence starting at 5 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -3x + -19 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 1y = 6
5x + 5y = 9",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£56 in the ratio 1:3,Ratio,Unitary Method,Use value of one part then multiply.
Find the 7th term of the sequence starting at 6 with common difference 4,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 8th term of the geometric sequence starting at 2 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 10x + 6 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"3x + 5y = 5
5x + 2y = 15",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£56 in the ratio 2:2,Ratio,Unitary Method,Use value of one part then multiply.
Find the 7th term of the sequence starting at 10 with common difference 8,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 9th term of the geometric sequence starting at 5 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -8x + -14 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 4y = 12
2x + 1y = 18",Simultaneous Equations,Elimination,Primary recommended solving strategy.
Share Â£46 in the ratio 4:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 9th term of the sequence starting at 10 with common difference 9,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 8th term of the geometric sequence starting at 3 with ratio 4,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -8x + -18 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"1x + 4y = 16
4x + 4y = 18",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£159 in the ratio 4:2,Ratio,Unitary Method,Use value of one part then multiply.
Find the 15th term of the sequence starting at 10 with common difference 2,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 8th term of the geometric sequence starting at 2 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + -7x + -14 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"4x + 3y = 5
1x + 4y = 19",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£61 in the ratio 3:1,Ratio,Unitary Method,Use value of one part then multiply.
Find the 14th term of the sequence starting at 3 with common difference 7,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 4th term of the geometric sequence starting at 4 with ratio 2,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 10x + -11 = 0,Quadratic Equations,Factorisation,Primary recommended method based on structure of coefficients.
"2x + 1y = 15
4x + 2y = 10",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£58 in the ratio 1:5,Ratio,Unitary Method,Use value of one part then multiply.
Find the 9th term of the sequence starting at 9 with common difference 7,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 9th term of the geometric sequence starting at 2 with ratio 3,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
x^2 + 6x + 5 = 0,Quadratic Equations,Quadratic Formula,Primary recommended method based on structure of coefficients.
"5x + 5y = 9
2x + 5y = 6",Simultaneous Equations,Substitution,Primary recommended solving strategy.
Share Â£22 in the ratio 2:3,Ratio,Unitary Method,Use value of one part then multiply.
Find the 14th term of the sequence starting at 4 with common difference 9,Arithmetic Progression,Nth Term Formula,Use arithmetic nth term formula.
Find the 6th term of the geometric sequence starting at 5 with ratio 5,Geometric Progression,Nth Term Formula,Use geometric nth term formula.
